DOC. ID    | DOC. PATH                                          
1          | input/A9.xml                                       
2          | input/A90.xml                                      
3          | input/A900.xml                                     
4          | input/A901.xml                                     
5          | input/A902.xml                                     
6          | input/A903.xml                                     
7          | input/A904.xml                                     
8          | input/A905.xml                                     
9          | input/A906.xml                                     
10         | input/A907.xml                                     
11         | input/A908.xml                                     
12         | input/A909.xml                                     
13         | input/A91.xml                                      
14         | input/A910.xml                                     
15         | input/A911.xml                                     
16         | input/A912.xml                                     
17         | input/A913.xml                                     
18         | input/A914.xml                                     
19         | input/A915.xml                                     
20         | input/A916.xml                                     
21         | input/A92.xml                                      
22         | input/A921.xml                                     
23         | input/A922.xml                                     
24         | input/A923.xml                                     
25         | input/A924.xml                                     
26         | input/A926.xml                                     
27         | input/A927.xml                                     
28         | input/A928.xml                                     
29         | input/A929.xml                                     
30         | input/A93.xml                                      
31         | input/A930.xml                                     
32         | input/A94.xml                                      
33         | input/A95.xml                                      
34         | input/A96.xml                                      
35         | input/A97.xml                                      
36         | input/A98.xml                                      
37         | input/Camilo-Amor_de_Perdicao-ospl.txt             
38         | input/teste.txt                                    
39         | input/teste2.txt                                   

TERM                 | DOC. FREQUENCY | POSTING LIST                   
publicadas           | 1              | [27]                           
publicado            | 3              | [20, 33, 34]                   
publicamente         | 2              | [8, 14]                        
publicas             | 4              | [2, 7, 18, 29]                 
publicidade          | 2              | [5, 37]                        
publico              | 19             | [1, 2, 4, 5, 7, 8, 12, 13, 14, 15, 16, 18, 19, 26, 28, 30, 32, 35, 37] 
publicoe             | 1              | [12]                           
publicos             | 4              | [15, 16, 20, 33]               
pude                 | 1              | [37]                           
puder                | 3              | [17, 31, 37]                   
pudera               | 1              | [37]                           
puderes              | 1              | [37]                           
pudesse              | 1              | [37]                           
pudessem             | 1              | [37]                           
pudesses             | 1              | [37]                           
pueril               | 1              | [37]                           
puerilmente          | 1              | [37]                           
pulido               | 1              | [2]                            
pulitzer             | 1              | [29]                           
pulmao               | 1              | [37]                           
pulmoes              | 1              | [37]                           
pulo                 | 1              | [37]                           
pulsoes              | 1              | [23]                           
pulsos               | 1              | [37]                           
pundonor             | 1              | [37]                           
pungentissima        | 1              | [37]                           
punhal               | 1              | [37]                           
pura                 | 3              | [2, 4, 37]                     
puramente            | 1              | [14]                           
pureza               | 1              | [37]                           
purissimo            | 1              | [37]                           
puro                 | 1              | [37]                           
purpura              | 1              | [37]                           
pusemos              | 2              | [1, 13]                        
pusera               | 1              | [37]                           
puseram              | 1              | [2]                            
puseram-me           | 1              | [15]                           
putch                | 1              | [2]                            
puxa                 | 1              | [2]                            
puxa-me              | 1              | [37]                           
pwcglobal            | 1              | [33]                           
quadrado             | 1              | [30]                           
quadro               | 1              | [37]                           
quadros              | 4              | [1, 6, 13, 16]                 
quais                | 9              | [1, 2, 6, 13, 17, 19, 31, 34, 37] 
qualidade            | 4              | [1, 13, 36, 37]                
qualidades           | 2              | [19, 37]                       
qualificacao         | 1              | [33]                           
qualificada          | 1              | [2]                            
qualitativamente     | 1              | [20]                           
quantas              | 2              | [14, 37]                       
quantia              | 1              | [37]                           
quantidades          | 1              | [20]                           
quantificacao        | 1              | [33]                           
quantificado         | 1              | [33]                           
quantos              | 1              | [37]                           
quarenta             | 1              | [37]                           
quarta-feira         | 2              | [2, 36]                        
quarteis             | 1              | [2]                            
quartel-general      | 1              | [15]                           
quartilho            | 1              | [37]                           
quartinho            | 1              | [37]                           
quartos              | 1              | [37]                           
quase                | 7              | [2, 11, 12, 14, 15, 33, 37]    
quatrocentos         | 1              | [37]                           
quebra               | 2              | [19, 37]                       
quebrada             | 1              | [37]                           
quebradas            | 1              | [37]                           
quebrado             | 1              | [37]                           
quebranta            | 1              | [37]                           
quebrantada          | 1              | [37]                           
quebrantados         | 1              | [37]                           
quebrantando         | 1              | [37]                           
quebranto            | 1              | [37]                           
quebrar              | 2              | [14, 37]                       
queda                | 2              | [19, 37]                       
quedam               | 1              | [37]                           
quedou               | 1              | [37]                           
queijos              | 1              | [33]                           
queira               | 1              | [37]                           
queiram              | 1              | [7]                            
queixa               | 1              | [37]                           
queixando-se         | 1              | [37]                           
queixar              | 1              | [37]                           
queixar-me           | 1              | [37]                           
queixar-se           | 1              | [37]                           
queixaria            | 1              | [37]                           
queixas              | 1              | [37]                           
queixo               | 1              | [37]                           
queixosos            | 1              | [37]                           
queluz               | 1              | [37]                           
quente               | 1              | [37]                           
quer-me              | 1              | [37]                           
quer-nos             | 1              | [37]                           
quer-se              | 1              | [37]                           
querela              | 1              | [37]                           
querem-me            | 1              | [37]                           
queremcondenar       | 1              | [2]                            
queremos             | 2              | [17, 31]                       
querendo             | 1              | [37]                           
querer               | 2              | [2, 37]                        
quererias            | 1              | [37]                           
queria               | 3              | [2, 21, 37]                    
queriam              | 2              | [2, 37]                        
querias              | 1              | [37]                           
querida              | 1              | [37]                           
querido              | 1              | [37]                           
quero-a              | 1              | [37]                           
quero-te             | 1              | [37]                           
querubim             | 1              | [37]                           
questionado          | 1              | [19]                           
questionam-se        | 1              | [20]                           
questione            | 1              | [2]                            
questoes             | 1              | [37]                           
quevieira            | 1              | [2]                            
quezilias            | 1              | [2]                            
quietacao            | 1              | [37]                           
quilometros          | 1              | [2]                            
quimeras             | 1              | [37]                           
quinhao              | 1              | [37]                           
quinhentos           | 2              | [17, 31]                       
quintais             | 1              | [37]                           
quintal              | 1              | [37]                           
quinteiro            | 1              | [37]                           
quis                 | 2              | [8, 37]                        
quiser               | 2              | [12, 37]                       
quisera              | 1              | [37]                           
quiseram             | 1              | [37]                           
quiseramos           | 1              | [37]                           
quiserem             | 2              | [7, 37]                        
quisesse             | 1              | [37]                           
rabicho              | 1              | [37]                           
racao                | 1              | [15]                           
raciocinio           | 1              | [37]                           
racionais            | 1              | [37]                           
racional             | 1              | [37]                           
racismo              | 1              | [8]                            
radical              | 1              | [4]                            
radio                | 2              | [2, 19]                        
raiar                | 1              | [37]                           
rainha               | 1              | [37]                           
raio                 | 1              | [37]                           
raios                | 1              | [37]                           
raiva                | 2              | [8, 37]                        
raivas               | 1              | [37]                           
rajadas              | 1              | [37]                           
ral                  | 1              | [2]                            
ralhou               | 1              | [37]                           
ralo                 | 1              | [37]                           
ramalho              | 2              | [2, 20]                        
ramilhetes           | 1              | [37]                           
raminhos             | 1              | [37]                           
ramo                 | 3              | [1, 13, 21]                    
ramos                | 2              | [26, 37]                       
rampa                | 1              | [37]                           
rancor               | 1              | [37]                           
randes               | 1              | [15]                           
random               | 1              | [39]                           
randomised           | 1              | [38]                           
rangendo             | 1              | [37]                           
rangido              | 1              | [37]                           
rapariga             | 1              | [37]                           
raparigas            | 1              | [37]                           
rapaz                | 3              | [7, 9, 37]                     
rapazes              | 3              | [5, 7, 15]                     
rapaziada            | 1              | [37]                           
rapida               | 2              | [25, 33]                       
rapidamente          | 3              | [5, 20, 37]                    
rapido               | 1              | [37]                           
rapidos              | 1              | [37]                           
rapou                | 1              | [37]                           
raquel               | 1              | [20]                           
rara                 | 1              | [37]                           
raramente            | 2              | [17, 31]                       
raras                | 1              | [37]                           
raro                 | 1              | [37]                           
raros                | 1              | [37]                           
ras                  | 1              | [37]                           
rasas                | 1              | [37]                           
rasgado              | 1              | [37]                           
rasgala              | 1              | [37]                           
raso                 | 1              | [37]                           
rasteira             | 1              | [2]                            
rastos               | 1              | [37]                           
ratazanas            | 1              | [37]                           
ratoeiras            | 1              | [37]                           
razao                | 5              | [2, 3, 17, 31, 37]             
razoavelmente        | 1              | [23]                           
razoes               | 6              | [2, 17, 19, 28, 31, 37]        
re                   | 1              | [37]                           
reabertura           | 1              | [2]                            
reabilitacao         | 1              | [37]                           
reaccao              | 1              | [2]                            
reaccionarios        | 1              | [2]                            
reafirmou            | 2              | [16, 35]                       
reagiu               | 1              | [37]                           
reais                | 1              | [37]                           
real                 | 2              | [2, 37]                        
reale                | 1              | [28]                           
realidade            | 4              | [2, 14, 34, 37]                
realismo             | 2              | [2, 29]                        
realiza              | 1              | [29]                           
realizacao           | 5              | [2, 3, 25, 27, 37]             
realizadas           | 2              | [33, 37]                       
realizado            | 1              | [29]                           
realizador           | 2              | [24, 29]                       
realizados           | 2              | [33, 37]                       
realizar             | 1              | [30]                           
realizassem          | 1              | [37]                           
realizem             | 2              | [17, 31]                       
reanimala            | 1              | [37]                           
reanimou-se          | 1              | [37]                           
reatando             | 1              | [2]                            
rebate               | 1              | [37]                           
rebates              | 1              | [37]                           
rebatido             | 1              | [37]                           
rebelde              | 1              | [37]                           
rebeliao             | 2              | [2, 37]                        
rebelioes            | 1              | [37]                           
rebelo               | 1              | [19]                           
rebenta              | 1              | [2]                            
rebentar             | 1              | [2]                            
rebrilha             | 1              | [37]                           
rebrilham            | 1              | [37]                           
rebucada             | 1              | [37]                           
rebucado             | 1              | [2]                            
rebulico             | 1              | [37]                           
recado               | 1              | [37]                           
recair               | 1              | [37]                           
recalcitrou          | 1              | [37]                           
recanto              | 1              | [37]                           
receando             | 1              | [37]                           
recear               | 1              | [2]                            
receara              | 1              | [37]                           
recearam-se          | 1              | [37]                           
receava              | 1              | [37]                           
receba               | 1              | [37]                           
recebe               | 2              | [2, 37]                        
recebela             | 1              | [37]                           
recebelo             | 1              | [37]                           
recebem              | 1              | [2]                            
recebemo-la          | 1              | [37]                           
receber              | 2              | [29, 37]                       
recebera             | 1              | [37]                           
receberia            | 1              | [37]                           
recebeu              | 1              | [37]                           
recebi               | 1              | [37]                           
recebia              | 1              | [37]                           
recebiam             | 1              | [37]                           
recebiamos           | 1              | [37]                           
recebida             | 1              | [37]                           
recebido             | 1              | [37]                           
recebo               | 1              | [37]                           
receia               | 2              | [1, 13]                        
receies              | 1              | [37]                           
receio               | 1              | [37]                           
receita              | 3              | [17, 31, 37]                   
receitas             | 1              | [34]                           
recente              | 3              | [4, 14, 34]                    
recentemente         | 2              | [27, 29]                       
recentes             | 2              | [14, 34]                       
receosa              | 1              | [37]                           
recepcao             | 1              | [37]                           
reciclaveis          | 2              | [1, 13]                        
recinto              | 1              | [2]                            
reclama              | 3              | [2, 7, 27]                     
reclamam             | 1              | [2]                            
reclinado            | 1              | [37]                           
reclusa              | 1              | [37]                           
reclusao             | 1              | [37]                           
recobra              | 1              | [37]                           
recobrando           | 1              | [37]                           
recobrou             | 1              | [37]                           
recolha              | 2              | [16, 37]                       
recolhe              | 1              | [37]                           
recolher             | 1              | [37]                           
recolher-me          | 1              | [37]                           
recolhera-se         | 1              | [37]                           
recolheram           | 1              | [37]                           
recolheu             | 1              | [37]                           
recolheu-se          | 1              | [37]                           
recolhia             | 1              | [37]                           
recolhido            | 1              | [37]                           
recolhimento         | 1              | [37]                           
recomecava           | 1              | [37]                           
recomenda            | 1              | [35]                           
recomendacoes        | 2              | [20, 37]                       
recomendando-lhe     | 1              | [37]                           
recomendar-lhe       | 1              | [37]                           
recomendavam         | 1              | [37]                           
recomendou           | 1              | [37]                           
recomendou-lhe       | 1              | [37]                           
recomendou-me        | 1              | [37]                           
recompensa           | 1              | [37]                           
reconcentrando       | 1              | [37]                           
reconcilia           | 1              | [29]                           
reconciliar-se       | 1              | [37]                           
reconciliarem-se     | 1              | [37]                           
reconhece            | 2              | [2, 16]                        
reconhecer           | 2              | [19, 37]                       
reconheceu           | 2              | [2, 37]                        
reconhecia           | 1              | [37]                           
reconhecidas         | 1              | [33]                           
reconhecivel         | 1              | [28]                           
reconheco            | 2              | [32, 37]                       
reconsiderar         | 1              | [3]                            
reconstituicao       | 1              | [10]                           
recorda              | 2              | [2, 37]                        
recordacoes          | 1              | [37]                           
recordando           | 1              | [37]                           
recordando-se        | 1              | [37]                           
recordaram           | 1              | [37]                           
recordava            | 1              | [37]                           
recorde              | 1              | [31]                           
recorde-se           | 1              | [3]                            
recordo              | 1              | [37]                           
recorrer             | 1              | [28]                           
recorreu             | 1              | [16]                           
recoveiro            | 1              | [37]                           
recreio              | 1              | [37]                           
recriar              | 1              | [25]                           
recriminado          | 1              | [37]                           
recriph              | 1              | [33]                           
recruta              | 1              | [15]                           
recrutamentos        | 1              | [15]                           
recuou               | 1              | [37]                           
recuperacao          | 1              | [35]                           
recupere             | 1              | [2]                            
recurso              | 2              | [2, 37]                        
recursos             | 3              | [1, 13, 37]                    
recusa               | 1              | [37]                           
recusar              | 1              | [2]                            
recusar-lhe          | 1              | [37]                           
recusou              | 3              | [17, 18, 31]                   
redactor             | 1              | [2]                            
redarguir            | 1              | [37]                           
redarguiu            | 1              | [37]                           
rede                 | 4              | [7, 16, 18, 37]                
redea                | 1              | [37]                           
redeas               | 1              | [37]                           
redencao             | 1              | [37]                           
redes                | 2              | [36, 37]                       
redigido             | 1              | [2]                            
redimido             | 1              | [37]                           
redirect             | 1              | [7]                            
redobrar             | 1              | [37]                           
redobre              | 1              | [37]                           
redobrou             | 1              | [37]                           
redonda              | 2              | [2, 37]                        
redondos             | 1              | [14]                           
redor                | 1              | [37]                           
reducao              | 2              | [33, 35]                       
reduplicada          | 1              | [37]                           
reduzida             | 3              | [1, 13, 33]                    
reduzir              | 1              | [33]                           
reembolso            | 1              | [33]                           
reequilibrar         | 1              | [35]                           
reequilibrio         | 1              | [35]                           
reestruturacao       | 1              | [2]                            
refacas              | 1              | [37]                           
refalsada            | 1              | [37]                           
refalsado            | 1              | [37]                           
refeicao             | 1              | [33]                           
refem                | 2              | [2, 23]                        
refere               | 1              | [7]                            
referencia           | 1              | [9]                            
referente            | 1              | [33]                           
referentes           | 1              | [26]                           
referia              | 2              | [7, 16]                        
referiam             | 1              | [7]                            
referida             | 1              | [33]                           
referidas            | 1              | [20]                           
referido             | 2              | [7, 33]                        
referidos            | 3              | [3, 7, 33]                     
referiu              | 2              | [7, 26]                        
referiu-se           | 1              | [8]                            
refira-se            | 2              | [27, 33]                       
reflecte             | 1              | [8]                            
reflecte-se          | 2              | [1, 13]                        
reflectimos          | 1              | [21]                           
reflectir            | 2              | [1, 13]                        
reflectira           | 1              | [2]                            
refletem-se          | 1              | [37]                           
refletindo           | 1              | [37]                           
refletiu             | 1              | [37]                           
reflexao             | 2              | [2, 37]                        
reflexionando-lhe    | 1              | [37]                           
reflexivos           | 1              | [37]                           
reflexo              | 1              | [37]                           
reflexoes            | 1              | [37]                           
reforcam             | 1              | [37]                           
reforcar             | 1              | [36]                           
reforco              | 2              | [2, 36]                        
reforma              | 6              | [2, 14, 16, 32, 33, 37]        
reformas             | 2              | [32, 34]                       
refregas             | 1              | [37]                           
refreou              | 1              | [37]                           
refrigeram           | 1              | [37]                           
refrigerar           | 1              | [37]                           
refrigerio           | 1              | [37]                           
refugiado            | 1              | [37]                           
refugiados           | 1              | [15]                           
refugio              | 1              | [37]                           
refulgente           | 1              | [37]                           
regalar              | 1              | [37]                           
regalias             | 1              | [37]                           
regedor              | 1              | [37]                           
regeneracao          | 1              | [37]                           
regenerar-se         | 1              | [37]                           
regente              | 1              | [37]                           
regia                | 1              | [37]                           
regiao               | 5              | [2, 6, 16, 18, 21]             
regicida             | 1              | [37]                           
regime               | 4              | [2, 6, 33, 35]                 
regimento            | 1              | [37]                           
regimes              | 1              | [33]                           
regionais            | 1              | [16]                           
regional             | 1              | [6]                            
registada            | 2              | [16, 35]                       
registado            | 3              | [1, 13, 16]                    
registadora          | 2              | [17, 31]                       
registados           | 1              | [7]                            
registam-se          | 2              | [2, 14]                        
registar             | 1              | [30]                           
registo              | 1              | [33]                           
registou             | 3              | [4, 7, 16]                     
registou-se          | 1              | [16]                           
regougou             | 1              | [37]                           
regozijo             | 1              | [37]                           
regra                | 2              | [3, 37]                        
regras               | 1              | [33]                           
regressar            | 1              | [19]                           
regresso             | 5              | [2, 18, 23, 25, 30]            
regularizacao        | 1              | [33]                           
regularizado         | 1              | [33]                           
regularmente         | 1              | [37]                           
rehabita             | 1              | [33]                           
rei                  | 1              | [37]                           
reina                | 1              | [2]                            
reino                | 2              | [10, 37]                       
reis                 | 1              | [37]                           
reitor               | 1              | [37]                           
reivindica           | 1              | [26]                           
reivindicacao        | 1              | [16]                           
reivindicacoes       | 1              | [3]                            
reivindicam          | 1              | [2]                            
reixas               | 1              | [37]                           
rejeicao             | 2              | [4, 37]                        
rejeitada            | 1              | [37]                           
rejeitado            | 1              | [37]                           
rejeitados           | 1              | [4]                            
rejeitam             | 1              | [2]                            
rejeitara            | 1              | [37]                           
rejeitaram-lhe       | 1              | [37]                           
rejeitava            | 1              | [37]                           
rejeitou             | 1              | [37]                           
rejeitou-a           | 1              | [37]                           
rejubila             | 1              | [37]                           
relacionada          | 1              | [37]                           
relacionamento       | 2              | [2, 36]                        
relacoes             | 3              | [18, 25, 37]                   
relance              | 1              | [37]                           
relanceando          | 1              | [37]                           
relancearam          | 1              | [37]                           
relanceou            | 1              | [37]                           
relanco              | 1              | [37]                           
relatando-lhe        | 1              | [37]                           
relativa             | 1              | [33]                           
relativamente        | 5              | [2, 4, 7, 16, 33]              
relatorio            | 2              | [2, 35]                        
relatou              | 1              | [37]                           
relaxou              | 1              | [37]                           
rele                 | 1              | [37]                           
relela               | 1              | [37]                           
relembra             | 1              | [37]                           
relendo              | 1              | [37]                           
releu                | 1              | [37]                           
relevante            | 1              | [33]                           
religiao             | 1              | [37]                           
religiosa            | 2              | [14, 37]                       
religiosas           | 1              | [37]                           
religioso            | 2              | [14, 28]                       
reliquia             | 1              | [37]                           
reliquias            | 1              | [37]                           
reluz                | 1              | [37]                           
reluzir              | 1              | [37]                           
relva                | 2              | [15, 37]                       
relvado              | 1              | [32]                           
remake               | 1              | [2]                            
remata               | 1              | [2]                            
rematava             | 1              | [37]                           
remate               | 1              | [37]                           
rematou              | 1              | [37]                           
remediar             | 1              | [37]                           
remedio              | 1              | [37]                           
remedios             | 1              | [37]                           
remeter-lhe          | 1              | [37]                           
remeteu              | 1              | [37]                           
remetia              | 1              | [37]                           
remia                | 1              | [37]                           
reminiscencia        | 1              | [37]                           
reminiscencias       | 1              | [37]                           
remirava             | 1              | [37]                           
remodelacao          | 1              | [33]                           
remordendo           | 1              | [37]                           
remorso              | 1              | [37]                           
remorsos             | 1              | [37]                           
remota               | 2              | [2, 29]                        
remotas              | 1              | [37]                           
remoto               | 1              | [37]                           
removendo            | 1              | [37]                           
removido             | 1              | [37]                           
remuneracao          | 1              | [33]                           
remuneracoes         | 1              | [33]                           
remunerado           | 1              | [37]                           
renascenca           | 3              | [2, 19, 29]                    
renascer             | 1              | [37]                           
renasceu             | 1              | [37]                           
rendibilidade        | 3              | [1, 13, 30]                    
rendimento           | 4              | [6, 33, 35, 37]                
rendimentos          | 3              | [33, 34, 37]                   
renegociar           | 1              | [16]                           
renome               | 1              | [37]                           
renovacao            | 2              | [2, 33]                        
renovado             | 1              | [29]                           
renovaveis           | 1              | [33]                           
rente                | 1              | [37]                           
renuncia             | 2              | [5, 37]                        
renunciado           | 1              | [28]                           
renunciar            | 1              | [5]                            
repara               | 1              | [37]                           
reparacao            | 1              | [33]                           
reparado             | 1              | [37]                           
reparando            | 1              | [37]                           
reparar              | 1              | [18]                           
reparava             | 1              | [37]                           
repare               | 1              | [37]                           
reparo               | 1              | [37]                           
reparos              | 1              | [37]                           
reparou              | 1              | [37]                           
reparticao           | 2              | [16, 33]                       
repartido            | 1              | [33]                           
repartimento         | 1              | [37]                           
repartimentos        | 1              | [37]                           
repartirei           | 1              | [37]                           
repartisse           | 1              | [37]                           
repartiu             | 1              | [37]                           
repelisse            | 1              | [37]                           
repeliu              | 1              | [37]                           
repeliu-o            | 1              | [37]                           
repensar             | 1              | [20]                           
repente              | 3              | [2, 11, 37]                    
repertorio           | 1              | [28]                           
repete               | 1              | [15]                           
repetem              | 1              | [37]                           
repetia              | 1              | [37]                           
repetiam             | 1              | [37]                           
repetidamente        | 1              | [8]                            
repetido             | 1              | [34]                           
repetindo            | 2              | [15, 37]                       
repetira             | 1              | [3]                            
repetiram-se         | 1              | [37]                           
repetisse            | 1              | [37]                           
repetiu              | 2              | [8, 37]                        
repicaram            | 1              | [37]                           
replica              | 2              | [2, 37]                        
replicar-lhe         | 1              | [37]                           
replicara            | 1              | [37]                           
replicas             | 1              | [37]                           
replicava            | 1              | [37]                           
replicou             | 1              | [37]                           
repliquei-lhe        | 1              | [37]                           
repontar             | 1              | [37]                           
reposta              | 2              | [18, 29]                       
repousar             | 1              | [37]                           
represada            | 1              | [37]                           
representa           | 5              | [1, 12, 13, 19, 30]            
representacao        | 1              | [33]                           
representantes       | 3              | [2, 17, 31]                    
representar          | 1              | [37]                           
representativa       | 1              | [14]                           
represente           | 1              | [19]                           
reprimir             | 1              | [37]                           
reprivatizada        | 2              | [1, 13]                        
reproduzissem        | 1              | [37]                           
republica            | 3              | [2, 33, 34]                    
repugnancia          | 1              | [37]                           
repugnante           | 1              | [37]                           
reputacao            | 1              | [37]                           
reputava             | 1              | [37]                           
reputo-o             | 1              | [37]                           
requeria             | 1              | [34]                           
requerimento         | 2              | [20, 37]                       
requerimentos        | 2              | [5, 37]                        
requisicoes          | 1              | [3]                            
reservado            | 1              | [27]                           
reservara            | 1              | [37]                           
reservas             | 2              | [1, 13]                        
resgatar-te          | 1              | [37]                           
resgate              | 1              | [37]                           
resguardar           | 1              | [37]                           
resguardo            | 1              | [37]                           
residencia           | 1              | [37]                           
residencias          | 1              | [30]                           
residente            | 1              | [7]                            
residentes           | 1              | [33]                           
residuais            | 1              | [14]                           
residual             | 1              | [14]                           
resignacao           | 1              | [37]                           
resignadas           | 1              | [37]                           
resignala-ia         | 1              | [37]                           
resignar             | 1              | [37]                           
resiste              | 1              | [37]                           
resistem             | 1              | [37]                           
resistencia          | 1              | [2]                            
resistido            | 3              | [17, 31, 37]                   
resistir             | 1              | [37]                           
resistiriam          | 1              | [37]                           
resmoneou            | 1              | [37]                           
resmungou            | 1              | [37]                           
resolucao            | 2              | [10, 37]                       
resolvera            | 1              | [37]                           
resolveu             | 1              | [37]                           
resolvida            | 1              | [37]                           
resolvido            | 2              | [7, 8]                         
